model,native_language,mean,sem,count,dataset,stage,release_date
Canary Qwen 2.5B,Arabic,0.04775525902404032,0.004590848666401987,599,L2-Arctic,degradation,2025-07
Canary Qwen 2.5B,Chinese,0.06234894734894734,0.0040396466295432665,600,L2-Arctic,degradation,2025-07
Canary Qwen 2.5B,Hindi,0.01826153476153476,0.002077323424447792,600,L2-Arctic,degradation,2025-07
Canary Qwen 2.5B,Korean,0.032501406001406,0.0029809462663990434,600,L2-Arctic,degradation,2025-07
Canary Qwen 2.5B,Spanish,0.04876774614274614,0.003890306965588229,600,L2-Arctic,degradation,2025-07
Canary Qwen 2.5B,USA,0.015164131892073067,0.0021598726158280042,408,L2-Arctic,degradation,2025-07
Canary Qwen 2.5B,Vietnamese,0.13557819495319495,0.007100705804104528,600,L2-Arctic,degradation,2025-07
Deepspeech,Arabic,0.20383461835882535,0.008412556541877314,599,L2-Arctic,degradation,2021-10
Deepspeech,Chinese,0.276631512006512,0.009129074968188714,600,L2-Arctic,degradation,2021-10
Deepspeech,Hindi,0.18687038887038884,0.0082983832583901,600,L2-Arctic,degradation,2021-10
Deepspeech,Korean,0.18273386335886335,0.008016494174267454,600,L2-Arctic,degradation,2021-10
Deepspeech,Spanish,0.19886816655566655,0.00779279299342441,600,L2-Arctic,degradation,2021-10
Deepspeech,USA,0.03839856358238711,0.0039229350618309395,408,L2-Arctic,degradation,2021-10
Deepspeech,Vietnamese,0.3304720464720465,0.009712742334602755,600,L2-Arctic,degradation,2021-10
Google Chirp 3,Arabic,0.04579400844008523,0.0035834026773830067,599,L2-Arctic,degradation,2025-10
Google Chirp 3,Chinese,0.08075607263107262,0.004876121941704451,600,L2-Arctic,degradation,2025-10
Google Chirp 3,Hindi,0.02598970011470011,0.002401264405116703,600,L2-Arctic,degradation,2025-10
Google Chirp 3,Korean,0.041383001258001255,0.0037196125791496204,600,L2-Arctic,degradation,2025-10
Google Chirp 3,Spanish,0.06685372266622265,0.004479413298925604,600,L2-Arctic,degradation,2025-10
Google Chirp 3,USA,0.014976261483614424,0.0023101234579925942,408,L2-Arctic,degradation,2025-10
Google Chirp 3,Vietnamese,0.15393090705590703,0.007168088913636112,600,L2-Arctic,degradation,2025-10
MMS 1B All,Arabic,0.1481066466458787,0.007896214410013178,599,L2-Arctic,degradation,2023-05
