dataset,sample_id,legacy_id
L1-Arctic,aew/arctic_b0126,0
L1-Arctic,aew/arctic_b0132,1
L1-Arctic,aew/arctic_a0026,2
L1-Arctic,aew/arctic_a0032,3
L1-Arctic,aew/arctic_b0324,4
L1-Arctic,aew/arctic_b0442,5
L1-Arctic,aew/arctic_a0581,6
L1-Arctic,aew/arctic_b0456,7
L1-Arctic,aew/arctic_b0330,8
L1-Arctic,aew/arctic_b0318,9
L1-Arctic,aew/arctic_a0224,10
L1-Arctic,aew/arctic_b0481,11
L1-Arctic,aew/arctic_a0542,12
L1-Arctic,aew/arctic_b0495,13
L1-Arctic,aew/arctic_a0556,14
L1-Arctic,aew/arctic_a0230,15
L1-Arctic,aew/arctic_a0218,16
L1-Arctic,aew/arctic_b0250,17
L1-Arctic,aew/arctic_a0393,18
L1-Arctic,aew/arctic_b0536,19
L1-Arctic,aew/arctic_b0522,20
L1-Arctic,aew/arctic_b0244,21
L1-Arctic,aew/arctic_a0387,22
L1-Arctic,aew/arctic_b0278,23
L1-Arctic,aew/arctic_b0293,24
L1-Arctic,aew/arctic_a0350,25
L1-Arctic,aew/arctic_a0436,26
L1-Arctic,aew/arctic_a0422,27
L1-Arctic,aew/arctic_b0287,28
L1-Arctic,aew/arctic_a0344,29
L1-Arctic,aew/arctic_a0378,30
L1-Arctic,aew/arctic_a0191,31
L1-Arctic,aew/arctic_b0052,32
L1-Arctic,aew/arctic_a0185,33
L1-Arctic,aew/arctic_b0046,34
L1-Arctic,aew/arctic_a0152,35
L1-Arctic,aew/arctic_b0091,36
L1-Arctic,aew/arctic_a0146,37
L1-Arctic,aew/arctic_b0085,38
L1-Arctic,aew/arctic_b0084,39
L1-Arctic,aew/arctic_a0147,40
L1-Arctic,aew/arctic_b0090,41
L1-Arctic,aew/arctic_a0153,42
L1-Arctic,aew/arctic_b0047,43
L1-Arctic,aew/arctic_a0184,44
L1-Arctic,aew/arctic_b0053,45
L1-Arctic,aew/arctic_a0190,46
L1-Arctic,aew/arctic_a0379,47
L1-Arctic,aew/arctic_a0423,48
L1-Arctic,aew/arctic_a0345,49
L1-Arctic,aew/arctic_b0286,50
L1-Arctic,ahw/arctic_a0026,1132
L1-Arctic,ahw/arctic_a0032,1133
L1-Arctic,ahw/arctic_a0581,1134
L1-Arctic,ahw/arctic_a0224,1135
L1-Arctic,ahw/arctic_a0542,1136
L1-Arctic,ahw/arctic_a0556,1137
L1-Arctic,ahw/arctic_a0230,1138
L1-Arctic,ahw/arctic_a0218,1139
L1-Arctic,ahw/arctic_a0393,1140
L1-Arctic,ahw/arctic_a0387,1141
L1-Arctic,ahw/arctic_a0350,1142
L1-Arctic,ahw/arctic_a0436,1143
L1-Arctic,ahw/arctic_a0422,1144
L1-Arctic,ahw/arctic_a0344,1145
L1-Arctic,ahw/arctic_a0378,1146
L1-Arctic,ahw/arctic_a0191,1147
L1-Arctic,ahw/arctic_a0185,1148
L1-Arctic,ahw/arctic_a0152,1149
L1-Arctic,ahw/arctic_a0146,1150
L1-Arctic,ahw/arctic_a0147,1151
L1-Arctic,ahw/arctic_a0153,1152
L1-Arctic,ahw/arctic_a0184,1153
L1-Arctic,ahw/arctic_a0190,1154
L1-Arctic,ahw/arctic_a0379,1155
L1-Arctic,ahw/arctic_a0423,1156
L1-Arctic,ahw/arctic_a0345,1157
L1-Arctic,ahw/arctic_a0351,1158
L1-Arctic,ahw/arctic_a0437,1159
L1-Arctic,ahw/arctic_a0386,1160
L1-Arctic,ahw/arctic_a0392,1161
L1-Arctic,ahw/arctic_a0219,1162
L1-Arctic,ahw/arctic_a0557,1163
L1-Arctic,ahw/arctic_a0231,1164
L1-Arctic,ahw/arctic_a0225,1165
L1-Arctic,ahw/arctic_a0543,1166
L1-Arctic,ahw/arctic_a0580,1167
L1-Arctic,ahw/arctic_a0033,1168
L1-Arctic,ahw/arctic_a0027,1169
L1-Arctic,ahw/arctic_a0031,1170
L1-Arctic,ahw/arctic_a0025,1171
L1-Arctic,ahw/arctic_a0019,1172
L1-Arctic,ahw/arctic_a0582,1173
L1-Arctic,ahw/arctic_a0233,1174
L1-Arctic,ahw/arctic_a0555,1175
L1-Arctic,ahw/arctic_a0541,1176
L1-Arctic,ahw/arctic_a0227,1177
L1-Arctic,ahw/arctic_a0569,1178
L1-Arctic,ahw/arctic_a0384,1179
L1-Arctic,ahw/arctic_a0390,1180
L1-Arctic,ahw/arctic_a0347,1181
L1-Arctic,ahw/arctic_a0421,1182
L1-Arctic,aup/arctic_a0026,1725
L1-Arctic,aup/arctic_a0032,1726
L1-Arctic,aup/arctic_a0581,1727
L1-Arctic,aup/arctic_a0224,1728
L1-Arctic,aup/arctic_a0542,1729
L1-Arctic,aup/arctic_a0556,1730
L1-Arctic,aup/arctic_a0230,1731
L1-Arctic,aup/arctic_a0218,1732
L1-Arctic,aup/arctic_a0393,1733
L1-Arctic,aup/arctic_a0387,1734
L1-Arctic,aup/arctic_a0350,1735
L1-Arctic,aup/arctic_a0436,1736
L1-Arctic,aup/arctic_a0422,1737
L1-Arctic,aup/arctic_a0344,1738
L1-Arctic,aup/arctic_a0378,1739
L1-Arctic,aup/arctic_a0191,1740
L1-Arctic,aup/arctic_a0185,1741
L1-Arctic,aup/arctic_a0152,1742
L1-Arctic,aup/arctic_a0146,1743
L1-Arctic,aup/arctic_a0147,1744
L1-Arctic,aup/arctic_a0153,1745
L1-Arctic,aup/arctic_a0184,1746
L1-Arctic,aup/arctic_a0190,1747
L1-Arctic,aup/arctic_a0379,1748
L1-Arctic,aup/arctic_a0423,1749
L1-Arctic,aup/arctic_a0345,1750
L1-Arctic,aup/arctic_a0351,1751
L1-Arctic,aup/arctic_a0437,1752
L1-Arctic,aup/arctic_a0386,1753
L1-Arctic,aup/arctic_a0392,1754
L1-Arctic,aup/arctic_a0219,1755
L1-Arctic,aup/arctic_a0557,1756
L1-Arctic,aup/arctic_a0231,1757
L1-Arctic,aup/arctic_a0225,1758
L1-Arctic,aup/arctic_a0543,1759
L1-Arctic,aup/arctic_a0580,1760
L1-Arctic,aup/arctic_a0033,1761
L1-Arctic,aup/arctic_a0027,1762
L1-Arctic,aup/arctic_a0031,1763
L1-Arctic,aup/arctic_a0025,1764
L1-Arctic,aup/arctic_a0019,1765
L1-Arctic,aup/arctic_a0582,1766
L1-Arctic,aup/arctic_a0233,1767
L1-Arctic,aup/arctic_a0555,1768
L1-Arctic,aup/arctic_a0541,1769
L1-Arctic,aup/arctic_a0227,1770
L1-Arctic,aup/arctic_a0569,1771
L1-Arctic,aup/arctic_a0384,1772
L1-Arctic,aup/arctic_a0390,1773
L1-Arctic,aup/arctic_a0347,1774
L1-Arctic,aup/arctic_a0421,1775
L1-Arctic,awb/arctic_b0126,2318
L1-Arctic,awb/arctic_b0132,2319
L1-Arctic,awb/arctic_a0026,2320
L1-Arctic,awb/arctic_a0032,2321
L1-Arctic,awb/arctic_b0324,2322
L1-Arctic,awb/arctic_b0442,2323
L1-Arctic,awb/arctic_a0581,2324
L1-Arctic,awb/arctic_b0456,2325
L1-Arctic,awb/arctic_a0595,2326
L1-Arctic,awb/arctic_b0330,2327
L1-Arctic,awb/arctic_b0318,2328
L1-Arctic,awb/arctic_a0224,2329
L1-Arctic,awb/arctic_b0481,2330
L1-Arctic,awb/arctic_a0542,2331
L1-Arctic,awb/arctic_b0495,2332
L1-Arctic,awb/arctic_a0556,2333
L1-Arctic,awb/arctic_a0230,2334
L1-Arctic,awb/arctic_a0218,2335
L1-Arctic,awb/arctic_b0250,2336
L1-Arctic,awb/arctic_a0393,2337
L1-Arctic,awb/arctic_b0536,2338
L1-Arctic,awb/arctic_b0522,2339
L1-Arctic,awb/arctic_b0244,2340
L1-Arctic,awb/arctic_a0387,2341
L1-Arctic,awb/arctic_b0278,2342
L1-Arctic,awb/arctic_b0293,2343
L1-Arctic,awb/arctic_a0350,2344
L1-Arctic,awb/arctic_a0436,2345
L1-Arctic,awb/arctic_a0422,2346
L1-Arctic,awb/arctic_b0287,2347
L1-Arctic,awb/arctic_a0344,2348
L1-Arctic,awb/arctic_a0378,2349
L1-Arctic,awb/arctic_a0191,2350
L1-Arctic,awb/arctic_b0052,2351
L1-Arctic,awb/arctic_a0185,2352
L1-Arctic,awb/arctic_b0046,2353
L1-Arctic,awb/arctic_a0152,2354
L1-Arctic,awb/arctic_b0091,2355
L1-Arctic,awb/arctic_a0146,2356
L1-Arctic,awb/arctic_b0085,2357
L1-Arctic,awb/arctic_b0084,2358
L1-Arctic,awb/arctic_a0147,2359
L1-Arctic,awb/arctic_b0090,2360
L1-Arctic,awb/arctic_a0153,2361
L1-Arctic,awb/arctic_b0047,2362
L1-Arctic,awb/arctic_a0184,2363
L1-Arctic,awb/arctic_b0053,2364
L1-Arctic,awb/arctic_a0190,2365
L1-Arctic,awb/arctic_a0379,2366
L1-Arctic,awb/arctic_a0423,2367
L1-Arctic,awb/arctic_a0345,2368
L1-Arctic,axb/arctic_a0026,3456
L1-Arctic,axb/arctic_a0032,3457
L1-Arctic,axb/arctic_a0581,3458
L1-Arctic,axb/arctic_a0224,3459
L1-Arctic,axb/arctic_a0542,3460
L1-Arctic,axb/arctic_a0556,3461
L1-Arctic,axb/arctic_a0230,3462
L1-Arctic,axb/arctic_a0218,3463
L1-Arctic,axb/arctic_a0393,3464
L1-Arctic,axb/arctic_a0387,3465
L1-Arctic,axb/arctic_a0350,3466
L1-Arctic,axb/arctic_a0436,3467
L1-Arctic,axb/arctic_a0422,3468
L1-Arctic,axb/arctic_a0344,3469
L1-Arctic,axb/arctic_a0378,3470
L1-Arctic,axb/arctic_a0191,3471
L1-Arctic,axb/arctic_a0185,3472
L1-Arctic,axb/arctic_a0152,3473
L1-Arctic,axb/arctic_a0146,3474
L1-Arctic,axb/arctic_a0147,3475
L1-Arctic,axb/arctic_a0153,3476
L1-Arctic,axb/arctic_a0184,3477
L1-Arctic,axb/arctic_a0190,3478
L1-Arctic,axb/arctic_a0379,3479
L1-Arctic,axb/arctic_a0423,3480
L1-Arctic,axb/arctic_a0345,3481
L1-Arctic,axb/arctic_a0351,3482
L1-Arctic,axb/arctic_a0437,3483
L1-Arctic,axb/arctic_a0386,3484
L1-Arctic,axb/arctic_a0392,3485
L1-Arctic,axb/arctic_a0219,3486
L1-Arctic,axb/arctic_a0557,3487
L1-Arctic,axb/arctic_a0231,3488
L1-Arctic,axb/arctic_a0225,3489
L1-Arctic,axb/arctic_a0543,3490
L1-Arctic,axb/arctic_a0580,3491
L1-Arctic,axb/arctic_a0033,3492
L1-Arctic,axb/arctic_a0027,3493
L1-Arctic,axb/arctic_a0031,3494
L1-Arctic,axb/arctic_a0025,3495
L1-Arctic,axb/arctic_a0019,3496
L1-Arctic,axb/arctic_a0582,3497
L1-Arctic,axb/arctic_a0233,3498
