dataset,sample_id,legacy_id
Openslr83,wef_12484_01482829612,0
Openslr83,wef_12484_01345932698,1
Openslr83,wef_12484_00999757777,2
Openslr83,wef_12484_00036278823,3
Openslr83,wef_12484_00458512623,4
Openslr83,wef_12484_00445516961,5
Openslr83,wef_12484_00262279005,6
Openslr83,wef_12484_00495324118,7
Openslr83,wef_12484_01838258949,8
Openslr83,wef_12484_01703308889,9
Openslr83,wef_12484_00407944176,10
Openslr83,wef_12484_00389649122,11
Openslr83,wef_12484_01518530037,12
Openslr83,wef_12484_00064152494,13
Openslr83,wef_12484_01289814182,14
Openslr83,wef_12484_00263357569,15
Openslr83,wef_12484_01407056263,16
Openslr83,wef_12484_01613879951,17
Openslr83,wef_12484_01739883713,18
Openslr83,wef_12484_00329206949,19
Openslr83,wef_12484_01204827667,20
Openslr83,wef_12484_00849752972,21
Openslr83,wef_12484_02068710499,22
Openslr83,wef_12484_00152911387,23
Openslr83,wef_12484_00698536202,24
Openslr83,wef_12484_01521280135,25
Openslr83,wef_12484_00713158670,26
Openslr83,wef_12484_00587666053,27
Openslr83,wef_12484_01655718444,28
Openslr83,wef_12484_01493788884,29
Openslr83,wef_12484_01708976115,30
Openslr83,wef_12484_01869046831,31
Openslr83,wef_12484_01608390610,32
Openslr83,wef_12484_00264636558,33
Openslr83,wef_12484_00054309121,34
Openslr83,wef_12484_00804434677,35
Openslr83,wef_12484_00161174827,36
Openslr83,wef_12484_01013458252,37
Openslr83,wef_12484_00090979207,38
Openslr83,wef_12484_00451133325,39
Openslr83,wef_12484_00450045312,40
Openslr83,wef_12484_00264222366,41
Openslr83,wef_12484_00004861543,42
Openslr83,wef_12484_00387951328,43
Openslr83,wef_12484_01193146367,44
Openslr83,wef_12484_01361867593,45
Openslr83,wef_12484_01680543350,46
Openslr83,wef_12484_01117838209,47
Openslr83,wef_12484_01537769687,48
Openslr83,wef_12484_01696230891,49
Openslr83,wef_12484_01562531918,50
Openslr83,irm_02484_00388340153,2849
Openslr83,irm_03397_00490952917,2850
Openslr83,irm_04310_00624468506,2851
Openslr83,irm_02484_00776785680,2852
Openslr83,irm_04310_02091634337,2853
Openslr83,irm_02484_00518136296,2854
Openslr83,irm_02484_01439358438,2855
Openslr83,irm_02484_01218267723,2856
Openslr83,irm_03397_00707319699,2857
Openslr83,irm_04310_00792705618,2858
Openslr83,irm_02484_00344071512,2859
Openslr83,irm_02484_00283096784,2860
Openslr83,irm_03397_00202407438,2861
Openslr83,irm_04310_01150022425,2862
Openslr83,irm_03397_00079042050,2863
Openslr83,irm_03397_02074208356,2864
Openslr83,irm_04310_01382548705,2865
Openslr83,irm_02484_01463449082,2866
Openslr83,irm_03397_00537962336,2867
Openslr83,irm_04310_00396855900,2868
Openslr83,irm_02484_00726760675,2869
Openslr83,irm_03397_00071096561,2870
Openslr83,irm_03397_00485667372,2871
Openslr83,irm_03397_00434383409,2872
Openslr83,irm_03397_01570274235,2873
Openslr83,irm_02484_00912301614,2874
Openslr83,irm_02484_00499107051,2875
Openslr83,irm_03397_01497818119,2876
Openslr83,irm_02484_01847156925,2877
Openslr83,irm_04310_01468035455,2878
Openslr83,irm_02484_01817627271,2879
Openslr83,irm_02484_01155461596,2880
Openslr83,irm_04310_00566824295,2881
Openslr83,irm_02484_00927992036,2882
Openslr83,irm_03397_00129730845,2883
Openslr83,irm_03397_00887551625,2884
Openslr83,irm_02484_00565531122,2885
Openslr83,irm_04310_00995217008,2886
Openslr83,irm_04310_00282760998,2887
Openslr83,irm_02484_00710219998,2888
Openslr83,irm_02484_00099848404,2889
Openslr83,irm_02484_00909735701,2890
Openslr83,irm_02484_00659187684,2891
Openslr83,irm_04310_01000510560,2892
Openslr83,irm_02484_00943705960,2893
Openslr83,irm_03397_01643597327,2894
Openslr83,irm_02484_01369659643,2895
Openslr83,irm_03397_01272151871,2896
Openslr83,irm_04310_01368946150,2897
Openslr83,irm_02484_00032769822,2898
Openslr83,irm_03397_01664787495,2899
Openslr83,mif_03397_01795413856,3299
Openslr83,mif_02484_01626966997,3300
Openslr83,mif_02484_00235587550,3301
Openslr83,mif_03397_01484155246,3302
Openslr83,mif_03397_00138718535,3303
Openslr83,mif_02484_01005913493,3304
Openslr83,mif_02484_00068678018,3305
Openslr83,mif_02484_00528482954,3306
Openslr83,mif_02484_01240780833,3307
Openslr83,mif_03397_00909595624,3308
Openslr83,mif_02484_00260303959,3309
Openslr83,mif_03397_00830024059,3310
Openslr83,mif_03397_01552024719,3311
Openslr83,mif_03397_00731094676,3312
Openslr83,mif_03397_01151916618,3313
Openslr83,mif_03397_00741667362,3314
Openslr83,mif_02484_01540041415,3315
Openslr83,mif_02484_01923879257,3316
Openslr83,mif_02484_01456412574,3317
Openslr83,mif_02484_00947586148,3318
Openslr83,mif_02484_01072634071,3319
Openslr83,mif_03397_00072029680,3320
Openslr83,mif_03397_01652936430,3321
Openslr83,mif_02484_01568632359,3322
Openslr83,mif_02484_00860023244,3323
Openslr83,mif_03397_00474076099,3324
Openslr83,mif_03397_00327444977,3325
Openslr83,mif_03397_00911922530,3326
Openslr83,mif_03397_00066725045,3327
Openslr83,mif_03397_00098629638,3328
Openslr83,mif_03397_01423829636,3329
Openslr83,mif_03397_00103293202,3330
Openslr83,mif_03397_00147679006,3331
Openslr83,mif_03397_01245229803,3332
Openslr83,mif_03397_01214957234,3333
Openslr83,mif_03397_01026893499,3334
Openslr83,mif_03397_00847406953,3335
Openslr83,mif_03397_00314332489,3336
Openslr83,mif_02484_00919153938,3337
Openslr83,mif_02484_00469920036,3338
Openslr83,mif_02484_00580347283,3339
Openslr83,mif_03397_00901894693,3340
Openslr83,mif_02484_00725110490,3341
Openslr83,mif_03397_00187618121,3342
Openslr83,mif_02484_01617168503,3343
Openslr83,mif_02484_00326352632,3344
Openslr83,mif_03397_01731534304,3345
Openslr83,mif_02484_01861008328,3346
Openslr83,mif_02484_01584283614,3347
Openslr83,mif_02484_01847448827,3348
Openslr83,mif_02484_01043227171,3349
Openslr83,nof_06136_01261352198,3995
Openslr83,nof_03397_00234313090,3996
Openslr83,nof_02484_00383298593,3997
Openslr83,nof_03397_01228314452,3998
Openslr83,nof_03397_01854637188,3999
Openslr83,nof_02484_00496854347,4000
Openslr83,nof_06136_00822791124,4001
Openslr83,nof_06136_01120124367,4002
Openslr83,nof_02484_01006862042,4003
Openslr83,nof_06136_00817039955,4004
Openslr83,nof_02484_01466070507,4005
Openslr83,nof_05223_00333813521,4006
Openslr83,nof_05223_02057486675,4007
Openslr83,nof_06136_02079483052,4008
Openslr83,nof_05223_02119601845,4009
Openslr83,nof_06136_00578062537,4010
Openslr83,nof_05223_01852105439,4011
Openslr83,nof_04310_00087005883,4012
Openslr83,nof_03397_00047138643,4013
Openslr83,nof_04310_00896646670,4014
Openslr83,nof_04310_00012750120,4015
Openslr83,nof_03397_02057882643,4016
Openslr83,nof_03397_00604781379,4017
Openslr83,nof_02484_00221655575,4018
Openslr83,nof_03397_01834192742,4019
Openslr83,nof_06136_00282871200,4020
Openslr83,nof_02484_00652588998,4021
Openslr83,nof_05223_01577408675,4022
Openslr83,nof_04310_00146440291,4023
Openslr83,nof_06136_01006829994,4024
Openslr83,nof_06136_00533854904,4025
Openslr83,nof_06136_00095393421,4026
Openslr83,nof_02484_00431840785,4027
Openslr83,nof_04310_01246768046,4028
Openslr83,nof_04310_00764343895,4029
Openslr83,nof_02484_00607376540,4030
Openslr83,nof_03397_02057673785,4031
Openslr83,nof_03397_01002368142,4032
Openslr83,nof_03397_00099912413,4033
Openslr83,nof_06136_00856718376,4034
Openslr83,nof_06136_00633605443,4035
Openslr83,nof_06136_01253637856,4036
Openslr83,nof_06136_00455522185,4037
Openslr83,nof_05223_00251914596,4038
Openslr83,nof_04310_00302462576,4039
Openslr83,nof_03397_00777866748,4040
Openslr83,nof_03397_02111829577,4041
Openslr83,nof_02484_01238221232,4042
Openslr83,nof_05223_00036760409,4043
Openslr83,nof_05223_02024847659,4044
Openslr83,nof_03397_01826072296,4045
Openslr83,scf_04310_01356369773,6842
Openslr83,scf_07049_00705812248,6843
Openslr83,scf_03397_02044513859,6844
Openslr83,scf_03397_01943955975,6845
Openslr83,scf_05223_00035208112,6846
Openslr83,scf_02484_01579985386,6847
Openslr83,scf_04310_02119798587,6848
Openslr83,scf_02484_00571002506,6849
Openslr83,scf_03397_01352544940,6850
Openslr83,scf_07049_01869875565,6851
Openslr83,scf_02484_01735735122,6852
Openslr83,scf_05223_01149030056,6853
Openslr83,scf_07049_00599723849,6854
Openslr83,scf_04310_00889364409,6855
Openslr83,scf_04310_01927212033,6856
Openslr83,scf_05223_00781837644,6857
Openslr83,scf_05223_01281944082,6858
Openslr83,scf_03397_00328565667,6859
Openslr83,scf_03397_01898565751,6860
Openslr83,scf_02484_00702102055,6861
Openslr83,scf_03397_00981462660,6862
Openslr83,scf_04310_00153940228,6863
Openslr83,scf_05223_00675541472,6864
Openslr83,scf_04310_00546769367,6865
Openslr83,scf_07049_00436599685,6866
Openslr83,scf_02484_00334622391,6867
Openslr83,scf_02484_01161975746,6868
Openslr83,scf_03397_00220685840,6869
Openslr83,scf_06136_01402841624,6870
Openslr83,scf_06136_01327162412,6871
Openslr83,scf_06136_00917808017,6872
Openslr83,scf_03397_01610969565,6873
Openslr83,scf_06136_01249198917,6874
Openslr83,scf_07049_01764799990,6875
Openslr83,scf_06136_01821880498,6876
Openslr83,scf_04310_01045939360,6877
Openslr83,scf_06136_01169640042,6878
Openslr83,scf_04310_01812701138,6879
Openslr83,scf_04310_00159587014,6880
Openslr83,scf_04310_01075105775,6881
Openslr83,scf_04310_01253060666,6882
Openslr83,scf_05223_00441322075,6883
Openslr83,scf_02484_00708247948,6884
Openslr83,scf_07049_00209818609,6885
Openslr83,scf_04310_01232177749,6886
Openslr83,scf_07049_00707436995,6887
Openslr83,scf_03397_00050628114,6888
Openslr83,scf_05223_01110832083,6889
Openslr83,scf_04310_01616176185,6890
Openslr83,scf_05223_01565159960,6891
Openslr83,scf_07049_00832316215,6892
Openslr83,sof_04310_01354981507,9385
Openslr83,sof_03397_01981885723,9386
Openslr83,sof_05679_01002131848,9387
Openslr83,sof_06136_01178272826,9388
Openslr83,sof_04415_02036024986,9389
Openslr83,sof_06592_00121979187,9390
Openslr83,sof_02121_01663753092,9391
Openslr83,sof_00610_01593329385,9392
Openslr83,sof_06592_00515423728,9393
Openslr83,sof_03397_01904632778,9394
Openslr83,sof_04766_01728958547,9395
Openslr83,sof_07508_00253667648,9396
Openslr83,sof_04766_00403890416,9397
Openslr83,sof_06136_00175867465,9398
Openslr83,sof_02121_00420474926,9399
Openslr83,sof_01523_02005365697,9400
Openslr83,sof_01523_01432186060,9401
Openslr83,sof_07049_01881470388,9402
Openslr83,sof_07060_02069324255,9403
Openslr83,sof_01208_01519029039,9404
Openslr83,sof_03853_00831189603,9405
Openslr83,sof_05679_00115863383,9406
Openslr83,sof_05679_00678325792,9407
Openslr83,sof_01523_00428105331,9408
Openslr83,sof_07049_01276814402,9409
Openslr83,sof_06592_00029374048,9410
Openslr83,sof_07060_01152146696,9411
Openslr83,sof_04766_01427955354,9412
Openslr83,sof_02121_01855766816,9413
Openslr83,sof_00295_00721952093,9414
Openslr83,sof_07060_00965452562,9415
Openslr83,sof_03349_01041798978,9416
Openslr83,sof_07973_02117504760,9417
Openslr83,sof_09697_01057019325,9418
Openslr83,sof_02436_00491227128,9419
Openslr83,sof_00295_00438180181,9420
Openslr83,sof_09334_01725341369,9421
Openslr83,sof_06592_02064056820,9422
Openslr83,sof_01523_01801481699,9423
Openslr83,sof_04766_00638723478,9424
Openslr83,sof_04766_00456779072,9425
Openslr83,sof_05223_01713595206,9426
Openslr83,sof_07505_01290904112,9427
Openslr83,sof_07973_00421423588,9428
Openslr83,sof_02484_00788769876,9429
Openslr83,sof_07508_00215139169,9430
Openslr83,sof_01523_00087643067,9431
Openslr83,sof_02484_01987878179,9432
Openslr83,sof_09697_01707804576,9433
Openslr83,sof_01523_00825837105,9434
Openslr83,sof_07049_01040556037,9435
